Name,Gender,Star,Summary,Director,Realase Date,Reward
A Beautiful Mind,Biography,8.2,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Ron Howard,2001,37 wins & 69 nominations total
El secreto de sus ojos,Drama,8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Juan José Campanella,2009,53 wins & 43 nominations total
Raging Bull,Biography,8.2,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,1980,24 wins & 28 nominations total
Tonari no Totoro,Animation,8.2,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,1988,5 wins & 2 nominations
Chinatown,Drama,8.2,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,1974,21 wins & 24 nominations total
"Lock, Stock and Two Smoking Barrels",Action,8.2,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",Guy Ritchie,1998,13 wins & 9 nominations total
The Gold Rush,Adventure,8.2,A prospector goes to the Klondike in search of gold and finds it and more.,Charles Chaplin,1925,3 wins & 3 nominations total
Shutter Island,Mystery,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Martin Scorsese,2010,11 wins & 66 nominations
No Country for Old Men,Crime,8.1,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Ethan Coen,2007,163 wins & 140 nominations total
Dial M for Murder,Crime,8.2,A former tennis player tries to arrange his wife's murder after learning of her affair.,Alfred Hitchcock,1954,5 wins & 3 nominations total
Det sjunde inseglet,Drama,8.2,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,1957,9 wins & 2 nominations
"Three Billboards Outside Ebbing, Missouri",Comedy,8.1,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,2017,131 wins & 232 nominations total
The Elephant Man,Biography,8.1,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,1980,10 wins & 22 nominations total
The Thing,Horror,8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,1982,3 nominations
The Sixth Sense,Drama,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,M. Night Shyamalan,1999,37 wins & 56 nominations total
Klaus,Animation,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,2019,11 wins & 26 nominations total
The Third Man,Film-Noir,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,1949,5 wins & 4 nominations total
Smultronstället,Drama,8.2,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,1957,18 wins & 4 nominations total
V for Vendetta,Action,8.1,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",James McTeigue,2005,7 wins & 29 nominations
Jurassic Park,Action,8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,1993,44 wins & 27 nominations total
The Truman Show,Comedy,8.1,An insurance salesman discovers his whole life is actually a reality TV show.,Peter Weir,1998,40 wins & 69 nominations total
Inside Out,Animation,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Pete Docter,2015,100 wins & 116 nominations total
Salinui chueok,Crime,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,2003,31 wins & 4 nominations
Blade Runner,Action,8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Ridley Scott,1982,12 wins & 19 nominations total
Trainspotting,Drama,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle,1996,23 wins & 35 nominations total
The Bridge on the River Kwai,Adventure,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",David Lean,1957,30 wins & 8 nominations total
Warrior,Action,8.1,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,2011,5 wins & 22 nominations total
Fargo,Crime,8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen,1996,83 wins & 58 nominations total
Finding Nemo,Animation,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton,2003,48 wins & 63 nominations total
Tôkyô monogatari,Drama,8.2,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,1953,3 wins
Gone with the Wind,Drama,8.1,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Victor Fleming,1939,21 wins & 12 nominations total
Kill Bill: Vol. 1,Action,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,2003,29 wins & 103 nominations total
Babam ve Oglum,Drama,8.3,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Cagan Irmak,2005,14 wins & 7 nominations
On the Waterfront,Crime,8.1,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Elia Kazan,1954,30 wins & 9 nominations total
Stalker,Drama,8.1,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,1979,2 wins & 2 nominations
Relatos salvajes,Comedy,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,2014,49 wins & 58 nominations total
Sherlock Jr.,Action,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,1924,1 win
The General,Action,8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Clyde Bruckman,1926,2 wins & 1 nomination
The Deer Hunter,Drama,8.1,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Michael Cimino,1978,24 wins & 27 nominations total
Gran Torino,Drama,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Clint Eastwood,2008,21 wins & 22 nominations
Persona,Drama,8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,1966,11 wins & 5 nominations total
The Grand Budapest Hotel,Adventure,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,2014,134 wins & 226 nominations total
Prisoners,Crime,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,2013,10 wins & 38 nominations total
Mary and Max.,Animation,8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Adam Elliot,2009,5 wins & 9 nominations
Before Sunrise,Drama,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,1995,1 win & 7 nominations
Mr. Smith Goes to Washington,Comedy,8.1,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Frank Capra,1939,6 wins & 16 nominations total
Room,Drama,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Lenny Abrahamson,2015,107 wins & 140 nominations total
In the Name of the Father,Biography,8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,1993,7 wins & 41 nominations total
Catch Me If You Can,Biography,8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,2002,16 wins & 46 nominations total
Barry Lyndon,Adventure,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,1975,19 wins & 15 nominations total
Gone Girl,Drama,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,2014,64 wins & 188 nominations total
Hacksaw Ridge,Biography,8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,2016,54 wins & 115 nominations total
Andhadhun,Crime,8.2,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,2018,27 wins & 25 nominations
To Be or Not to Be,Comedy,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,1942,2 wins & 2 nominations total
La passion de Jeanne d'Arc,Biography,8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,1928,5 wins & 2 nominations
Ford v Ferrari,Action,8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,2019,25 wins & 89 nominations total
12 Years a Slave,Biography,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,2013,243 wins & 336 nominations total
The Big Lebowski,Comedy,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen,1998,5 wins & 18 nominations
How to Train Your Dragon,Animation,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Dean DeBlois,2010,25 wins & 63 nominations total
Mad Max: Fury Road,Action,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,2015,245 wins & 231 nominations total
Dead Poets Society,Comedy,8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Peter Weir,1989,20 wins & 19 nominations total
Höstsonaten,Drama,8.2,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",Ingmar Bergman,1978,10 wins & 9 nominations total
Ben-Hur,Adventure,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",William Wyler,1959,29 wins & 16 nominations total
Le salaire de la peur,Adventure,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,1953,6 wins total
Million Dollar Baby,Drama,8.1,A determined woman works with a hardened boxing trainer to become a professional.,Clint Eastwood,2004,67 wins & 86 nominations total
Harry Potter and the Deathly Hallows: Part 2,Adventure,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,2011,46 wins & 94 nominations total
Ah-ga-ssi,Drama,8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Park Chan-Wook,2016,68 wins & 106 nominations total
Network,Drama,8.1,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Sidney Lumet,1976,20 wins & 26 nominations total
Stand by Me,Adventure,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Rob Reiner,1986,5 wins & 11 nominations total
Cool Hand Luke,Crime,8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,1967,4 wins & 10 nominations total
Logan,Action,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,2017,28 wins & 77 nominations total
Les quatre cents coups,Crime,8.1,"A young boy, left without attention, delves into a life of petty crime.",François Truffaut,1959,10 wins & 7 nominations total
Gangs of Wasseypur,Action,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,2012,17 wins & 45 nominations
Hachi: A Dog's Tale,Biography,8.1,A college professor bonds with an abandoned dog he takes into his home.,Lasse Hallström,2009,1 nomination
La haine,Crime,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,1995,8 wins & 15 nominations
Eskiya,Crime,8.2,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Yavuz Turgul,1996,6 wins
Platoon,Drama,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,1986,24 wins & 15 nominations total
Spotlight,Biography,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,2015,124 wins & 143 nominations total
Koe no katachi,Animation,8.2,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Naoko Yamada,2016,4 wins & 8 nominations
Life of Brian,Comedy,8.1,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Terry Jones,1979,See the Top 250 movies as rated by IMDb users
Rebecca,Drama,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,1940,7 wins & 10 nominations total
"Monsters, Inc.",Animation,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Pete Docter,2001,15 wins & 38 nominations total
Hotel Rwanda,Biography,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,2004,16 wins & 49 nominations total
Fa yeung nin wah,Drama,8.1,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong,2000,46 wins & 51 nominations total
Rush,Action,8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,2013,6 wins & 65 nominations total
Into the Wild,Adventure,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Sean Penn,2007,23 wins & 106 nominations total
Strasti po Andreyu,Biography,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Andrei Tarkovsky,1966,5 wins & 2 nominations
Amores perros,Drama,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,2000,55 wins & 25 nominations total
Rocky,Drama,8.1,A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,1976,20 wins & 21 nominations total
It Happened One Night,Comedy,8.1,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Frank Capra,1934,11 wins & 2 nominations total
Kaze no tani no Naushika,Animation,8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki,1984,4 wins & 2 nominations
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Animation,8.1,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,Hideaki Anno,1997,2 wins
La battaglia di Algeri,Drama,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,1966,9 wins & 9 nominations total
Before Sunset,Drama,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,2004,9 wins & 32 nominations total
Fanny och Alexander,Drama,8.1,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Ingmar Bergman,1982,25 wins & 12 nominations total
Trois couleurs: Rouge,Drama,8.1,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,1994,19 wins & 29 nominations total
Kimetsu no Yaiba: Mugen Ressha-Hen,Animation,8.3,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",Haruo Sotozaki,2020,3 wins & 3 nominations
"Paris, Texas",Drama,8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,1984,18 wins & 12 nominations total
The Princess Bride,Adventure,8.1,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,1987,7 wins & 10 nominations total
Ratsasan,Action,8.5,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Ram Kumar,2018,3 wins & 6 nominations
Du rififi chez les hommes,Crime,8.1,"Four men plan a technically perfect crime, but the human element intervenes...",Jules Dassin,1955,6 wins & 1 nomination
Le notti di Cabiria,Drama,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Federico Fellini,1957,17 wins & 8 nominations total
Sunrise: A Song of Two Humans,Drama,8.1,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme.",F.W. Murnau,1927,6 wins & 2 nominations total
