Name,Gender,Star,Summary,Director,Realase Date,Reward
The Pianist,Biography,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,2002,57 wins & 74 nominations total
The Usual Suspects,Crime,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,1995,37 wins & 17 nominations total
Terminator 2: Judgment Day,Action,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.",James Cameron,1991,36 wins & 33 nominations total
Back to the Future,Adventure,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Robert Zemeckis,1985,22 wins & 25 nominations total
Psycho,Horror,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,1960,7 wins & 14 nominations total
The Lion King,Animation,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,1994,39 wins & 35 nominations total
Modern Times,Comedy,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,1936,4 wins & 1 nomination
American History X,Drama,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,1998,4 wins & 15 nominations total
City Lights,Comedy,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,1931,3 wins
Hotaru no haka,Animation,8.5,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,1988,3 wins
Whiplash,Drama,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,2014,98 wins & 145 nominations total
Gladiator,Action,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,2000,59 wins & 106 nominations total
The Departed,Crime,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,2006,97 wins & 141 nominations total
Intouchables,Biography,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,2011,38 wins & 40 nominations total
The Prestige,Drama,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,2006,6 wins & 45 nominations total
Casablanca,Drama,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,1942,10 wins & 9 nominations total
C'era una volta il West,Western,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,1968,4 wins & 5 nominations
Rear Window,Mystery,8.5,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Alfred Hitchcock,1954,6 wins & 13 nominations total
Nuovo Cinema Paradiso,Drama,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,1988,25 wins & 32 nominations total
Alien,Horror,8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Ridley Scott,1979,18 wins & 22 nominations total
Apocalypse Now,Drama,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,1979,21 wins & 32 nominations total
Memento,Mystery,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,2000,57 wins & 59 nominations total
